text,intent
I want to goodbye from my account,goodbye
product damaged today,complaint
I want to bye with support,goodbye
can you give your introduction,name_query
can you account help for me,account_help
could you track my package,order_status
could you weather today today,weather_query
state your name?,name_query
I need to account help please,account_help
thank you assistant,thanks
raining outside please,weather_query
hey please,greeting
could you refund my payment for me,payment_issue
could you show laptops for me,product_search
order shipped please,order_status
please thanks dear,thanks
please give your introduction,name_query
please where is my order now,order_status
assistant name please,name_query
please hi chatbot,greeting
please schedule meeting for me,appointment_booking
delivery status please,order_status
I need to track my package now,order_status
can you bye immediately,goodbye
salam!,greeting
are you there,greeting
please okay thanks,thanks
please bye from my account,goodbye
what should I call you?,name_query
please order pizza for me,food_order
can you get biryani,food_order
please order shipped now,order_status
payment failed please,payment_issue
can you refund my payment today,payment_issue
hi chatbot!,greeting
order a burger today,food_order
