text,sentiment
 no panasonic charger.sorry,negative
" you too!  Cloudy day here in Madrid, typical Spring day",neutral
Great good tracking with work and lifestyle,positive
I only have 2 more seasons of X-Files to watch,neutral
Loves the fact that there`s only 5 days of school left,positive
 lannen fall?    we have a new EP coming out shortly.  I want you dudes to hear it!,neutral
"I still really miss being able to synch important to-do's (i.e. exams) with my calendar app, as I believe Wunderlist was able to do. Besides that, I'm very happy with the ease of use and functionality of this app, helps me everyday.",positive
 I so know what you mean,neutral
"I already have a subscription, it's ridiculous that It notices I already had a free trial so it obviously knows my account but its not logging me in with my premium subscription. To top it off I can't ask customer service nothing because it's not an option unless you have the premium that's ridiculous.",neutral
"Great updates! Nice color, nice experience, pro version is better, wished more was free. Need quick add tasks (see Tick Tick), needs folders, and a pomo timer would be awesome.Thanks for adding sort and categories!",positive
gooooood morning,positive
 oh no fair.... thats in 9 hours,negative
grumble..weather man.. don`t know wtf they are talkin about.,negative
" If you see it at Nova on a Monday, tickets are only $8",neutral
" As much as I loved Texas, my dislike for needles could interfere.",neutral
" *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she`ll grab pity votes like a shark.",negative
"Great , use it daily . Quick and easy when i'm in a hurry. Would be nice to have a vehicle checklists ...etc",positive
 I don`t get it...,neutral
   woohoo! I got the Sunbeam Cafï¿½ Series grinder at Eu Foods for only $198! Epic win,neutral
" called about it, no answer shall try again tomorrow",neutral
 Aww how cute! You`d love my bathroom  http://twitpic.com/4jez4,positive
"Gah, I`m jittery and upset for absolutely NO reason...",negative
"Aw, not going to Toronto anymore.",negative
Widget is not loading correctly when the phone is restarted all the time,neutral
Happy Mother`s Day to all Mums on Twitter,positive
no more twitter in a while   .. tweet tweet,neutral
they were actually there omg apparently a relative of marc went to my school lol,neutral
Great way to manage your tasks. Only downside is you set the deadlines and can knowingly chance them at any time,positive
Sunburn hurts!,negative
My best friend is in vegas without me,neutral
 I don`t even remember what`s on there!!!,neutral
 shweeeeet!,positive
"Great app, but why can't it show dates as mm/dd/yy or dd/mm/yy?? It would be a great asset to have! If you add this on an upcoming update, will download again and keep (Currently uninstalled)",neutral
fun day with boo. short but fun,positive
Lunch sucked ran out of time  didn`t get anything done,negative
" It was a lot of stress, though, so with that and supporting two big families he never quit smoking and died of lung cancer at 51.",negative
massive headache  going to see terminator tonight!,negative
my pooooor baby (my dog chachi)  she had surgery todayyyyy,negative
Have somebody installed vCenter Server 4 on Windows 2008 x64 w SP2?  SP2 is not in the compability matrix,neutral
 sorry  you wouldn`t believe how much feedback we got on that menu bar icon.  the next version will be a lot more subtle,neutral
 heyy i finally got one too  oh and good luck on your finals today,positive
_KittyKat  so now im bored..untill i go out,negative
" No. As a result, the salary is a decrease",negative
 i love youuuuu nick santino! thirteen dayssss,positive
 My windows open and its not that cold ahahah,positive
"whatever will be, will be",neutral
Can I get some gd news for gods sake,negative
Writing my first tweet,neutral
u ever have a friend that u just wonder why are we friends? i know what you get from me but i`m questioning what i`m getting from u.,neutral
aha _marie my brother`s wallpaper on his phone is Dolly The Sheep  aha i`m loling.,positive
Ahh! Members of the toasters and  playing with void union! Sick! I missed  and we are the union,negative
I hate today.,negative
Graduating from high school tonight  im kind of sad..,negative
Monday mornings couldn`t exist if it weren`t for some hot tea.,neutral
" either way, you always tend to make my #followfriday list, sweetie - you do rock that much",positive
 Thank you! Tadi jam 12.30pm,positive
"i`m so worn out, this week has sped by soo fast. gonna ask mum if we can go to the movies. i`m desperate",negative
just finished Wander Girl for the nth time-- Hilda Gallares is truly a kindred soul.,positive
Goodnight and Goodbye ?,positive
he`s here   sleep over with the MR. night peeps !,neutral
 my feelings are hurt,negative
the mum`s cake is done.. now i need make a good luch and tomorrow will be an amazing Mum` day,positive
i think i have a fever,neutral
"http://twitpic.com/4j9x4 - lmao, it`s true",positive
Lower rating until I use it more -just started,neutral
 Ohhhhh how I miss the Brunch,negative
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
 everything okay?,neutral
Its ok. I've started using it when I found out wunderlist was going to end and be absorbed by Microsoft. I've used wunderlist for years so its a change. What I miss most is being able to manually adjust how my items were arranged I don't care much for alphabetical ordering and going from oldest to newest or newest to oldest as the only other available options are a bit annoying. I liked being able to sort my items as needed on the daily but maybe that's just me. I love'd my lists and now meh.,neutral
" ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO",neutral
Jennnnnn richhhh wast to the ed,neutral
Soaked in the rain in 30 seconds and I wasn`t even hiking 8.4 miles with 2.5 miles in the rain like last weekend.,neutral
May the 4th be with you! Happy Star Wars Day twirps!  ROFL,positive
App does not work.,negative
" Thanks for the feedback. Surreal life, surreal oils",positive
real stressed,negative
Great app when it works but don't assume you will get any support when it doesn't. Always read our help files and that is it.,neutral
"This app's PERFECT for helping manage one's time! I'm amazing how much better I do, when I can actually look at it and literally see my time ""flying"" by.",positive
im only doing this because it would not stop telling me give then a rating. (hence the lower score) pretty good app and the best part is it has a widget and only a one time fee to have full access to app.,neutral
Half term is almost over,neutral
my darling dd says 'my mum is my best friend'... and she told me to tell you all she said that in here too  so I did! love ya moo (jd too),positive
On my way to the airport! Headed to NYC,neutral
 I am pretty sure that`s the sort if tweeting that will lose followers. But stuff it- it was well worth it,positive
 I WISH I could be in bed by nine once in a while. I never make it in before 3-4 a.m.  #sleepdeprived. Doing too much.,neutral
" ooc: thanks! Ugh...what a bad, bad day I`ve had. **** .",negative
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
subway  im going to get subway....  love it! ate it often when i was in new zealand....,positive
LA bound!!,neutral
 agree completely. it`s all about attitude & chutzpah,positive
Gonna miss Thick As Blood next Friday,neutral
At Marlees doc appointment poor babygirl has to get shots,negative
getting dinner ready not much going on in my life it seems,negative
"When you use the pomo timer, it automatically starts counting down when you hit what task you want yo be working on. There is no longer an icon where you can choose your white noise before starting the pomo and no way to pause the pomo once it starts so you can select your white noise. I would like to be able to select the task I'm working on, select what white noise I want, and then start the pomo; not everything automatically start.",negative
"Last day working for the Uni today, sad times",negative
 Yes! Haha and then when he impaled himself with the crossed keys!  Love Scottish-trying-to-be-Irish Ewan McGregor,positive
"Looks like rain again  Oh well, it will give me a chance to work on a new crochet pattern I have in the works.",positive
Don`t really feel like I got a tan  I gave up and am working out instead. Skin cancer is overrated. <3 CJ,neutral
 I`m absolutely jealous as hell of Brenda,negative
"PLEASE add the option of automatically adding tasks to the top instead of forcing them to the bottom. That's the only thing stopping me from switching over from Wunderlist. Edit: I just heard you're killing off Wunderlist for good in May of 2020. I know I'm just one person, but I'll be jumping ship if such a simple improvement isn't made. Edit again: 3/27, and you did an update. But why in the world would you give iOS the ""add tasks to the top"" feature but NOT Android? Come on, please??",negative
"In a philosophical mood tonight, wandering round after dark does that for me",neutral
 Ahh thats where i go the 6 year old fact. good old radio one!  what exams do you have tomorrow?,positive
Done studying bout the earth,neutral
" unfortunetly no  I wish, I mean sometimes like twice a yr they`ll have a party, but not always",negative
"It`s official, I`m finally getting grey hairs at 36  #fb",neutral
Needs a job BADLY!!!,negative
Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,neutral
"Had a great night, ashleigh makes a good dance teacher  And we kicked Bens butt at a pillow fight!",positive
"#SanctuarySunday awesome news about the Leo Awards for Sanctuary, looks like they got 4 out of the 10 they were nomintated for, not bad!",positive
 that sucks mama,negative
_jenkins nothing yet,neutral
a little shy on functionality but for the price it can't be beat. I use it daily.,neutral
" well donkey has his own appeal, for sure.",neutral
  Hello there hope your over your flu now,positive
"going to shibuya, meet my mom, get my contact lenses, then shinjuku",neutral
 have a lovely weekend,positive
Bus stuck in traffic; gonna be late,negative
 Wow! I am impressed Pastor Lucas! Great work!!!,positive
 We`ve just 16ï¿½C today&cold wind..  Want it 2b like 25ï¿½ to 30ï¿½! I love hot weather! But I reaped the 1st strawberry yday!,neutral
_anstee i hope! its in expo! that would be amazing. im trying so hard to make perfection so it is.,positive
Two fantastic shows in a row,positive
"Its a Productive app.Helps me to have my focus off the phone.The concept of planting variety of plants and trees eventually having a beautiful virtual forest of yours(I'm using the free version) is outstanding.Not to mention the ambient sound feature(not explored yet).I'm happy to find this app. Suggestions : Add more varieties of plants,trees & decoratives in the store.Also, add animals in the store, it will bestow in users the idea of having wildlife in their virtual forest. Thank you",positive
"Ugh im so tired and i hardly did anything but play with my niece, Im goin to bed Goodnight eveyone! <3",neutral
_ yeah,neutral
Off work in half an hour. Getting an MRI after that. Yay me,positive
A long and stressful day coming up tomorrow. Have to write responses to EOI; doing a colleagues job,negative
"going 2 watch Dogtown, hope it`s not too sad!",positive
 Aww how sweet,positive
Another long walk in the heat... I hate this...,negative
Greatttt💗💗👍🏼👍🏼,positive
"No longer work in Android 9. It can""t load meetings from Outlook or even from Google accounts. Interface is badly designed too.",negative
Today`s ABA has been full of emotional tears  #ASD #autism some days are harder than others.  Its hard to not intervene  poor baby,negative
Just realized it is friday and b/c of a party I don`t get to go racing.,neutral
morning twitterbugs...nothing like a loooooooooong lie-in!!,positive
não tem a opçāo de sub tarefa,positive
friday.....i have nothing to do so sad,negative
 Your schmoo is moving? Are you sad?,neutral
" Too easy! Happy Mother`s Day, to a great mom!",positive
Sunday sunshine track  ? http://blip.fm/~5z7cg,neutral
 so see you on my birthday visit me  haha why wack Saturday ?,positive
Tidied & hoovered the whole flat - and all b4 10am today  Now we`re heading out2 German bakery 4 breakfast followed by a walk in the park,neutral
" LoL that`s from last winter (only a few months ago December) I`m in Seattle, felt like Siberia this last winter",neutral
The more I use this app the more I love it. I've been looking for something like this for a long time. One thing: I'd like to be able to sort my routines chronologically rather than alphabetically.,positive
is wishing she would get more followers,positive
i cut my hand open!!!,negative
good morning work this morning gutted lol nevermind,neutral
It have reminders in premium version. How it can organize when we can't set reminders,negative
Yorks V Lancs on the telly. Not going too well for Yorkshire.,negative
HaPPy Mothers Day!!!,positive
 haha i love both of them too  hmm.. lol i`m in need of some good bands too,positive
" yay! now ill shall take your picture, and get a tattoo on my arm",neutral
 wow! you`ve been tweeting all night!! looks like you totally made up for the day,positive
 haha so the whole worlds there then lol,neutral
" went with john grisham instead... she was very pleased & never suspected a thing, lol. hope tomorrow is a better day for you",positive
 I never was good at platform games...,negative
 Do you have a facebook page? If not I`ll email you pictures of my bangs. If you don`t like them I`ll blame the kitties.,negative
"I really wanted to love this app. It looks amazing & has so much potential. However, the app does not sync to your timezone. My day does not reset at midnight, despite what the app says. When I try to change the reset time to match up with the incorrect timezone, it keeps switching back to midnight. So my day randomly resets, usually around 6 or 7 pm. Sometimes, the day doesn't reset for more than 24 hours. & my avatar takes damage for the ""missed"" day. Makes it impossible to effectively use. :(",negative
"Shopping, grandparents, dinner with the bf  woop",neutral
 i know,neutral
yeah.... and im gonna take ur picture off my ipod baby..,neutral
"Perfect App for what it is made for, I even.purchased premium so I could add more habits and also get the dark mode option. I am a Music Producer and if anybody does any form of creative art for a living then you will know how easy it is to get carried away and spend hours doing that. This app has helped me to stay on top of other tasks such as eating healthy spending time with my pets and going to the gym everyday. So Thank You!!! God Bless and have a great day. Instagram: AV_TheArtist",positive
 awwwwww....I know that feeling!!,neutral
" I`m not going, sadly.  Maybe next year, eh?",negative
Living my life,neutral
" Ok, im not really that far yet  On the 2nd part of 4. Wish she did them earlier though, like mid day so I could be involved",positive
Off to church now...,neutral
Still soo tired..not ready to get up for the day...work again,negative
omg a rat... ewwwww. omg i cant wait for tha marra.. so ecxcited. annabel cant go tho,neutral
 switch to something else then,neutral
Good morning everyone  It`s a nice day #iloveitwhen the sun is shining. And now I`m going to write some stuff,positive
 ooh which two books did you buy?,neutral
_diva as always  coffee? cookies?,neutral
".... you are my sunshine, my only sunshine....",neutral
"ugh my head, when will all the headaches stop. anyways, i love my life right now, i couldn`t ask for anything more. i love being happy",positive
 I gave you a big mention on The GodTalk Radio show last night....last segment of the first hour. Podcast format avail soon,neutral
" That`s kinda cute, to be honest",positive
got paid nowhere near as much as she thought she would,neutral
She doesn`t believe spending many (many) thousands on a perfect wedding makes a happy couple.....A happy couple makes a perfect wedding,positive
" that was a really good interview to read, really enjoyed it  x",positive
" nevermind....I kept reading and see ya`ll r gonna be in Williamsburg   I`ll mind my business now, lol",negative
oh no its ok  they are coming on just now x],neutral
" Yeah, plus it`s just a little too far to walk to Pinocchio`s for sushi",negative
"Cool concept, but sync doesn't work, and the desktop add-on is half baked. I wish the developer would be responsive to my emails as well.",negative
my finger hurts cause its infected!,negative
 u witch! im upstate in a **** hick dry county. so no alcohol or ethnic food.  im crying.,negative
what a beautiful day - shame I`ve got to spend it in an office,neutral
"I went from touching the app once a day to once a week, over the span of about 2 months. Would be better if notifications were functional/ could be enabled. I like the concept of being a hero, though. I just always fail all my daily set tasks (repeatedly back to level 0 hahaha...) -- I stick to my sticky notes app (with reminders) that I've been using for years. [Edit 11/10/19]: I see notifications on appear on my phone now! Thank you.",neutral
Up at 6am on Sunday... Going to meet my mom for breakfast at the beach!,neutral
   Hi to one kiwi artist from another kiwi artist,neutral
"just got in from michaels and had some shreddies  im well tired, it was fun though ryan wright stoned = LOL",neutral
Last night in Australia,neutral
Ok.....Twitter is not near as exciting as I thought it would be!,negative
gahh!! i`m so tired right now.,negative
 why??,neutral
 Thanks man.  That sorted it. I only ever remember 222.222,positive
Very pleased with the product! I do however have one suggestion: possibility to pick location directly from the maps would be nice.,positive
It`s cause you give me a reason to assume.  - http://tweet.sg,neutral
 whew! thassa relief,positive
" Sus Ate, I was so upset, I wasn`t informed AT ALL. Turns out, they told Sarms and they expected her to tell me. Huff.",negative
Can`t sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,negative
" that`s the prob, i work from home, and the bed`s calling, no, screaming out my name! had really strong coffee instead",neutral
OH. I am just so tired.,negative
"Not compatible with older Samsung tablet. What a crock, it's a to do app. Explain why Wunderlist can run but not this app...",negative
 You are very much welcome,positive
Happy nurses week! It`s our first one as rn`s,positive
i will be without an assistant for the next week,neutral
"chilling on the sofa, I hate vaccinations, I feel sooo ill",negative
"_Cullen10 That`s so nice to hear  i love you, you`re my best friend and my sister *hug u*",positive
 http://twitpic.com/4hsd2 - Weheyyyy   We give thanks for MIDI keyboards,positive
  dont listen..he do him..but I tried not taking a nap yesterday and I still was up til 1am and than I got up at 7am,neutral
where did the rain go??,neutral
" thanks for wishing me luck a couple of weeks ago on getting into a higher choir, but i didn`t make it",neutral
"loves the new Mother`s Day snl digital short, mother lover, oohhhh cornyness",positive
I lost all my pictures that I had attached in wunderlist.,neutral
  so far surprisingly good responses. My dad offered to airbrush the old logo on the wall..but I think that might be overkill,positive
"The recent UI changes are not intuitive. And the snooze options still suck. Why can't we have a simple 3-digit numerical entry field, plus a period selector with minutes, hours, days, months, etc.? The Life Reminders (LR) app has much better snooze options, and time/date entry options.",negative
Too good.,positive
" lol `if u knew better, u`d do better, wouldnt wear Uggs in shoe weather...` awww RIP Stack B",negative
" Hey babe follow me,love u on da show",positive
 thank you. yes yes. hooray!,positive
" aha i bet they are cute,should we wear our nu **at  the same time so  i cn show you mine,u cn show me yours",positive
 awe,neutral
" or, Green Day: boulevard of broken dream, Hinder: lips of an angel, Howie Day: collide - that was such a nice song",positive
" Good luck  I wanna see them again too. I waited outside by their buses to see them before, no autographs tho!",positive
Not in front of the tv  wats the score an inning??,neutral
 I appreciate the effort. My skin is much softer than your screen,positive
I really like this app and find it useful for keeping me on track. Simple but effective. I used the free version for almost 2 years. At the end of the first year it reset and I lost all of my history. So before the end of the second year I bought the premium version and promptly lost all of my history again. I contacted support to see if they could help and got no response at all. I still recommend it for tracking your habits but don't expect to keep the info long term or get help if you need it,neutral
"i dislike math, but math HATES me",negative
 You should spray yourself with the non smelling repellant that stinks to high heaven,neutral
 your not following me  it won`t let me dm,neutral
Aww I heard I just missed you two  &  !,negative
St joe is dirty.,negative
In bed with 2 girls,neutral
 Hmm.  My VPN works fine.    (Oh.. wait.. I don`t need VPN anymore.) http://tinyurl.com/cao6tu,positive
"???ï¿½ï¿½  ???CE d grade?mock?????, ???????",neutral
 shopping is therapuetic and i`m all about bettering myself... i need financing for my therapy however,positive
I have trouble with Starship troopers. They`re mean to the great big pink bug.,negative
 Anyone with big fingers  But I`ve loved it...,positive
 meeee too. i am listening to sad music and missing you.  ps - http://www.daytrotter.com/,negative
Mikey I`m bored,negative
 Thanks for getting me bottled water.,positive
"Here come the Hawks, the mighty Blackhawks!!",neutral
 when will she b finished,neutral
_Logos nope my computer right now is in need of a power supply so im useing an old office machine,neutral
 maybe you need to start a 'wholey created by evolution' or 'wholely composed of matter' flickr group,neutral
My son had surgery yesterday so mommy and son time won`t be as long today,negative
just spent all day putting up a trampoline but is now too tired to use it...  it is very cool though!!,neutral
Is in starbucks,neutral
where my reply ended up i cant see but i am a user for 2.5 years and this app never worked properly for me. i use for the script task adding feature and pay for supporting its development but they are not much interested i guess. businessline.halit.... try searching your emails. i wrote more details in original post.,negative
 YES!! cant wait. hope these vip passes help since people already campin out hahah,positive
 Get a dachshund they are awesome at getting stuck in silly places I should know I breed them!,neutral
Hulu Desktop looks nice but not for my region,positive
" --sorry for running over uncle Terry, but he just wasn`t living up to his potential. expecting more from his next return.",negative
 Wow- you are sharing some of my long list.,neutral
Had a blood test today.   Wasn`t too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte & a bun.Yum!,positive
"colds nearly gone, yayness!! greys anatomy on tonight . . . . . .double yay!",positive
"He can`t fix it.   I guess I`ll write until I get too bored then watch tv. Man, this is lame.",negative
 whahahah thank you,positive
" precisely.  The more followers you have, the more important you feel  http://twitter.pbworks.com/Hashtags explains a bit more.",positive
" heh, you seem to have a complex about your iPhone jealousy. This self-denial is harmful! Just let it out.",negative
 Nothing like alone time with your handheld device,positive
 thanks you soo much i need this day for these five kids lol,positive
is the luckiest girl in the world <3,positive
iced coffee and vanilla ice cream UBER SICK MIX,negative
 Who`ve u noticed now Kate ?,neutral
Night Night Everyone.    HAPPY MOTHERS DAY to all mothers,positive
How can AnyDo send reminders to someone on WhatsApp when the task is due? I want the person to whom task is assigned shud also get a reminder before it's due How can I do this?,neutral
on my way to orlando and its raining,neutral
 anytime. I aim to please.,positive
 aww poor precious,negative
liking my fake tan orange colour,positive
The lab informs me the logic board is dead as well. It is farking expensive to replace. I don`t know what to do.  #MyPowerBookG4RIP,negative
and it`s my birthday tomorrow. Everything worked fine w/that in the end Convinced her not 2 invite ppl she didn`t know,neutral
computers are a great distraction-but sometimes you should be exercising to getting your chores done instead.,neutral
395 votes for Hungary?What? But....but...the Nurburgring...  http://tinyurl.com/mtfye3,neutral
This app keeps stopping everytime i have to reinstall it to use though i have pro version and the problem still persists even i have coomplained about this long before,negative
It`s a sad day when Christian Lacroix has to file for bankruptcy,negative
_in_love aww me too!!!  we miss you.,positive
 Not yet... sorry,negative
 i wish i could meet you once  do u think this will happen someday? :`(,negative
Great app!,positive
Taking the day off and doing absolutely nothing    Studying begins on the morrow,neutral
" After many attempts, I can`t figure out how put a pic in the avatar. Tells me pic is too big. Frustrated trying.......sorry",negative
" that`s half the solution, it doesn`t address the intrusion into the link-sharing process, but thanks",positive
can`t make it to graduation...,negative
Is Bored. Waiting Till 7:06 To Go Out To Tha Bus,negative
We in bed now.,neutral
has the day open until 4. don`t know what to do. everyone is leaving today,neutral
 happy birthday month!! I only get a day but you deserve the whole month,positive
 That`s tonight?! Cool,positive
**** you is all i have to say,negative
Bought premium version of the app but the whitelist fuction not working well as the tree isn't be killed when i use app i'm not supposed to,neutral
    the hills is gunna be so different!! gl with your designing etc.,positive
- It`s time for Kathleen to go to bed... waaaaay past time. Don`t expect to hear from me before noon. lol  Have a BLESSED morning.,neutral
 rest well!,positive
 Good Luck!!!  keep rockin!,positive
I don`t feel good,negative
I fell for Austin Taura Hanafiah even morreee! Shoott!!!  A guy shouldn`t look that yumm! Hahaha...,positive
Going to work.  Could use some happy pills,positive
" Aww, thanks!",positive
" yeah, it`s all teased up into this boofy bit...i`m buying red hair extensions btw",positive
 i graduate at 9am on Sunday June 14th...,neutral
"  hey!, which song was that? I would like to listen to it",positive
Ugh..just starting another 2 hours of behind the wheel for drivers ed,negative
 oh yeah them too. LOL,neutral
 Oh THOSE messages. Probably not,neutral
Having fun with all my dolls  tequillla...carne asada....and my mom dancing funny!,positive
"i think my cold is getting worse, not better!!  i cant stop coughing - it really sucks!!",negative
"neighborhood research today, Day 1 of 5....and a little bit of shopping",neutral
_**** not as yet... i would just like to know if its okay for your mum before ask my mumm  hopefuly there gonna tell us soon!!!,positive
 I must admit when i first saw that name posted i thought it was an exploit attempt,negative
"Hi, is anybody else having problems with the Karma site? It`s not working.",negative
"Dlukasrossi Lukas- your amazing wife, her updates are locked! Hard to convince people to follow protected profiles,",positive
 sounds like the muffler bearings are going bad,negative
brought the SF fog to LA,neutral
Doggone it! I only got an hour nap in  I really want some Ponderosa chicken wings!,neutral
  Looks like the nap will have to wait. I`m still waiting on the poor guy,neutral
Is getting the hang of Twitter.,neutral
"I just dont do subscriptions, if it was one time pay, I would actually try it, as it is.. I simply uninstalled it. No thank you.",neutral
No updates long time ago,neutral
No subscription tank you. Please full price. I no lack forever.,negative
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive
 i wanna join the twit Club......,positive
Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5,neutral
 Nooooo get on now! Haha i`ll be gone later,neutral
 still got one more year with t-mo tho  I might just get a new bb curve. Not too concerned abt apps. Batt life is important,neutral
 Wonderful trip!  Read all 4 Twilight novels.  Completely all consuming and engrossing.  Kinda sad to be done.,neutral
i got baby g wach its zi same as the 1 lady gaga wears in eh eh film clip but in pink!! I LOVE YOU KAY thanks a heap  i win olivia,positive
"So, #primavera is in Barcelona. In Spain. Surely Ruth Lorenzo must be here, right? BTW Jarvis has a walking stick",neutral
dev.java.net : the slowest website,negative
GAH! I have the headache from hell. Reminds me what my lovely wife goes through all too often,neutral
"I got a newer phone and I used the same email that I purchased the pro app on, but it won't let me install it again for free when I've already paid for it.",neutral
"2,697 views on my FLickr Account.. Maybe is not much for you...  but I`m happy  ... YAY http://www.flickr.com/photos/bonassin/",positive
I`m not sure why walking around in barnes and noble comforts me so much. O well now I`m off to work,positive
"I would really like to see the inbox feature in Wunderlist brought over. There is currently no efficient way to quickly add tasks so you can sort/organize them later. On the main page, there is only an add list button, and I don't want to add everything to My Day. This gets cluttered and messy. It would also be nice if tasks that you have assigned for a certain day are automatically added to My Day, instead of having to go through and look for tasks that are due and add them to My Day manually.",neutral
"This app is not free for even a trial, so how am I going to buy it.",negative
watching 'la rosa de guadalupe' damm this episode is so true they are people that make fun of the people that are virgins,neutral
 apparently!  Haven`t tried the site tho. Maybe will get better results.,positive
Just uploading photos from the cell...nothin like true candid-ness!,negative
 That sounds **** too.,negative
: Am sad i got no money on my phone. Ahh well  lly Mitchel ****,negative
Oh that just made my evening.  I forgot Merlin was on tonight!  But its a toss up between Rove and Spielburg on Spielburg on ABC2 choices.,positive
Paid for it 2 times keeps wanting me to pay for it again,neutral
 make sure you call yur mother & tell her how much you love her. Tell her I love her for bringin you into the world.,positive
A great tool to see what's going on in your day. I linked work and personal calendars into one. The customisable buttons are a nice touch and allow you to make it work the way you want it to.,positive
Happy Birthday tooo meeee... Happy Birthday tooo meeee...,positive
Hates moving,negative
 I work tomorrow,neutral
Just thinking that it will all pay off in the end.,neutral
" Good to hear! I got a bit of a tan today too, which is unheard of for me- I am SO pasty white all the time.  Mostly I freckle.",neutral
Starting some work on final year project. Just making some test pieces in flash to see how things could work. Listning to iPod too,neutral
"I really want to love this app but it won't even let me select PM so its constantly telling me its past the due date, which makes the app very useless to me.",negative
 of course it is   http://is.gd/kqSK,neutral
 that`s crazy why would anyone not follow you? Your tweets are so much fun,neutral
good morning  tis a rainy Monday morning...blahhh!,positive
Britain`s got Torture - Edelcries...,negative
watching miss cytheria,neutral
"the swine flu is in robina, gold coast",neutral
 oh yeah - love his choregoraphy. the pants...not so much.,neutral
is feeling so bored... i miss school time,negative
"_bennett gotta go drive my Dad around today, but i`ll be back this afternoon.",neutral
? ALREADY FINISHED CHATTING . HAHA ..  ?,neutral
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral
 No dice...I searched it in the 'Help' area...just a problem some people have.  It would have been hot...oh well,neutral
"For US tweeps, don`t forget to call your mom today...",positive
  Thank you so much. That was so nice of you and I was happy to hear you voice  You`ve really started something Good!! xo,positive
_Rahal Thing about living is that there are always undeveloped pictures in your future.,neutral
Happy Mothers Day! Will be going out later at 6 pm to watch a well renowned group of singers!,positive
is feeling her eyes burned-fried after 10 hours attached to the screen uploading new summer clothing for my store www.Chittypulga.com,negative
is over it.  http://plurk.com/p/rp5np,neutral
"found a pack of United Red Carpet Club booze vouchers. Anyone wanting to have quite a few drinks there, come with me as it appears",neutral
 hey dude im finishing my lullaby  dude i saw a pic of you w/ long hair umm lets just say keep it short ha,neutral
 pups I would LOVE to..BUTT I will be saving lives Saturday night  although I know I am missing a BLAST,positive
" **** - that`s sad, then... I haven`t heard the new one yet. Sounds like I`ve been spared a tragedy.",negative
 ty for feeding our NK addiction..ermm i mean our uhh nope yup addiction covers it,positive
our south style exhibition is on in less than a week  member fresh gallery otara!,neutral
 rentaphone  yesy have,neutral
Time to do house chores! Ugh!,negative
" I empathise luvvie, I dont personally understand a grown mans need to dress in tartan in search for a little white ball",neutral
 Tell him where...,neutral
 something we all need sometime,neutral
" ah it doesnt work for me  but i just want to say i love the beach girl, you guys are acee! england loves you (: ****",positive
Show 147 in pre-pre production ....... a bit behind,negative
 congratulations!,positive
It wouldn't let me in,negative
: I will press that ignore button,negative
"2night- dance parties, fun times, & awkward situations  highlight- driving w/ nims and annie listening to satellite windows downnnn",neutral
 then stop staying out all night,neutral
"This is a nice app, it does what I needed to do and it's there when I need to use it.",positive
Followed by the great Super Mazembe. One of the favorites around here  ? http://blip.fm/~5jkbp,neutral
"Too many cocktails last night, my head hurts",negative
watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,negative
I have been a big fan of Todoist for years. I tried this last week and the themes are awful .,negative
 yeah yeah gd night then,positive
Yay! Bannerbomb for the Wii is finally out. I can run homebrew on my 4.0 Wii.,positive
 Yep: http://bit.ly/15yyId  We go there for Christmas treats!,neutral
"  I gave up cable in these tough economic times.  it was either cable or shoes, and you know what cable lost",positive
I want to be able to set so that the week starts from Sunday. Highly inconvenient for I frequently set the reminder wrongly. A day behind. Please upgrade so that the week start from Sunday.,neutral
I dont like u use numbers instead of yes or no but it doesnt show any difference on the calendar eg color difference.,neutral
Glad to see the sun out in Dublin after a great week in London. Back to work,positive
 that`s a mess  I`ll look for it next week,negative
" thank you sooooo much for my snoopy T-shirt! I love it to bits! It`s a perfect fit, just got it this morning!  Peace",positive
" Good luck whit the show tonite man, ill be watching",positive
_B_Judah i am too old for Vegas,neutral
" oh okay cool, i love the fast and the furious can`t wait to see the new one",positive
" Actually, I also thought Mother`s Day was May 31st until I was remembered of Pentecost  Uselessly complicated, I would say",negative
Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving,neutral
 Thank you  ****,positive
wished didnt spend money last night,negative
Revamping my recording studio today and adding some nice high end outboard gear...very exited!,positive
one hour till I go home and commence pouting because no Bahama trip for me,neutral
